"","TradeOrderId","TradeAccountFk","TradeBalanceCurrency","TradeOrderCreated","TradeSide","TradeSymbol","TradeOrderAmount","TradeOrderPrice","TradePosClosed","TradePosClosePrice","TradeUserComment"
"1",15198801,"100182","USD",2017-06-22 09:40:14,"Buy","EURUSD",1000,1.11657,0001-01-01 00:00:00,0,NA
"2",15198803,"100182","USD",2017-06-22 09:41:22,"Buy","LTCEUR",0.01,40.697,0001-01-01 00:00:00,0,NA
"3",15198821,"100182","USD",2017-06-22 11:58:27,"Buy","AUDCAD",5000,0.99746,2017-06-22 11:58:27,1.004456,NA
"4",15198822,"100182","USD",2017-06-22 11:58:31,"Sell","EURUSD",2000,1.11568,2017-06-22 11:58:31,1.115265,NA
"5",15198823,"100182","USD",2017-06-22 11:58:35,"Sell","LTCEUR",0.01,41.343,2017-06-22 11:58:35,40.697,NA
"6",15198820,"100182","USD",2017-06-22 11:56:02,"Buy","LTCEUR",0.01,41.27752,0001-01-01 00:00:00,0,NA
"7",15198824,"100182","USD",2017-06-22 11:59:58,"Buy","EURUSD",1000,1.11587,0001-01-01 00:00:00,0,NA
"8",15198826,"100182","USD",2017-06-22 12:02:02,"Sell","EURUSD",2000,1.11571,2017-06-22 12:02:02,1.11587,NA
"9",15198827,"100182","USD",2017-06-22 12:02:18,"Buy","EURUSD",1000,1.11568,2017-06-22 12:02:18,1.11571,NA
"10",15198828,"100182","USD",2017-06-22 12:02:50,"Buy","EURUSD",1000,1.11583,0001-01-01 00:00:00,0,NA
"11",15198830,"100182","USD",2017-06-22 12:03:07,"Sell","EURUSD",2000,1.11575,2017-06-22 12:03:07,1.11583,NA
"12",15198831,"100182","USD",2017-06-22 12:05:12,"Buy","EURUSD",1000,1.11568,2017-06-22 12:05:12,1.11575,NA
"13",15198832,"100182","USD",2017-06-22 12:05:26,"Buy","EURUSD",1000,1.11567,0001-01-01 00:00:00,0,NA
"14",15198834,"100182","USD",2017-06-22 12:05:58,"Buy","EURUSD",2000,1.11576,0001-01-01 00:00:00,0,NA
"15",15198835,"100182","USD",2017-06-22 12:08:28,"Sell","EURUSD",3000,1.11576,2017-06-22 12:08:28,1.11573,NA
"16",15198836,"100182","USD",2017-06-22 13:17:55,"Buy","EURUSD",3000,1.11492,0001-01-01 00:00:00,0,NA
"17",15198838,"100182","USD",2017-06-22 13:18:37,"Sell","EURUSD",3000,1.11492,2017-06-22 13:18:37,1.11492,NA
"18",15198840,"100182","USD",2017-06-22 13:21:45,"Buy","EURUSD",3000,1.11493,0001-01-01 00:00:00,0,NA
"19",15198839,"100182","USD",2017-06-22 13:18:56,"Buy","EURUSD",3000,1.11493,0001-01-01 00:00:00,0,NA
"20",15198841,"100182","USD",2017-06-22 13:22:51,"Buy","EURUSD",3000,1.11493,0001-01-01 00:00:00,0,NA
"21",15198842,"100182","USD",2017-06-22 13:23:05,"Buy","EURUSD",3000,1.11518,0001-01-01 00:00:00,0,NA
"22",15198844,"100182","USD",2017-06-22 13:23:27,"Buy","LTCEUR",0.01,40.989,0001-01-01 00:00:00,0,NA
"23",15198847,"100182","USD",2017-06-22 13:25:58,"Sell","EURUSD",3000,1.11507,2017-06-22 13:25:58,1.11518,NA
"24",15198846,"100182","USD",2017-06-22 13:25:03,"Buy","LTCEUR",0.01,40.69005,0001-01-01 00:00:00,0,NA
"25",15199410,"100181",NA,2017-06-22 09:00:46,"Sell","AUDCAD",1000,1.00175,0001-01-01 00:00:00,0,NA
"26",15199413,"100181",NA,2017-06-22 09:10:18,"Buy","AUDCAD",900,1.00403,0001-01-01 00:00:00,0,NA
"27",15199414,"100181",NA,2017-06-22 09:11:59,"Sell","EURCAD",1000,1.48529,0001-01-01 00:00:00,0,NA
"28",15199415,"100181",NA,2017-06-22 09:12:22,"Sell","EURJPY",1000,124.267,0001-01-01 00:00:00,0,NA
"29",15199416,"100181",NA,2017-06-22 09:12:52,"Sell","EURJPY",1000,124.277,0001-01-01 00:00:00,0,NA
"30",15199417,"100181",NA,2017-06-22 09:13:15,"Sell","EURJPY",1000,124.282,0001-01-01 00:00:00,0,NA
"31",15199418,"100181",NA,2017-06-22 09:47:13,"Buy","EURJPY",1000,124.197,0001-01-01 00:00:00,0,NA
"32",15199419,"100181",NA,2017-06-22 09:47:49,"Buy","EURJPY",1000,124.158,0001-01-01 00:00:00,0,NA
"33",15199420,"100181",NA,2017-06-22 09:49:03,"Sell","EURJPY",1000,124.205,0001-01-01 00:00:00,0,NA
"34",15199466,"100181",NA,2017-06-22 11:26:49,"Sell","EURJPY",1000,124.161,0001-01-01 00:00:00,0,NA
"35",15199467,"100181",NA,2017-06-22 11:48:58,"Buy","BTCEUR",0.01,2389.956,0001-01-01 00:00:00,0,NA
"36",15199469,"100181",NA,2017-06-22 11:50:30,"Sell","BTCEUR",0.01,2385.84,0001-01-01 00:00:00,0,NA
"37",15199468,"100181",NA,2017-06-22 11:49:29,"Buy","BTCEUR",0.01,2385.813,0001-01-01 00:00:00,0,NA
